unix_time,frame_ts_us,tracker_id,cx_px,cy_px,bx,by,w_px,h_px,processing_time_s
1763656247.3707223,815000,1,394.8340148925781,80.89616394042969,19,4,97,60,0.0
1763656247.3707223,815000,2,384.653564453125,263.9033203125,19,13,36,46,0.0
1763656247.3707223,815000,3,445.4370422363281,280.5141296386719,22,14,42,80,0.0
1763656247.402535,845000,1,384.7684631347656,76.43104553222656,19,3,98,54,0.0
1763656247.402535,845000,2,385.22210693359375,262.125,19,13,35,45,0.0
1763656247.402535,845000,3,446.7849426269531,274.1938171386719,22,13,39,80,0.0
1763656247.437761,880000,1,374.4216613769531,72.78874969482422,18,3,102,51,0.0
1763656247.437761,880000,2,385.87384033203125,260.01861572265625,19,13,35,47,0.0
1763656247.437761,880000,3,447.9736328125,266.7738952636719,22,13,36,78,0.0
1763656247.4708295,915000,1,360.4477844238281,68.85629272460938,18,3,105,48,0.0
1763656247.4708295,915000,2,385.9410095214844,257.2685546875,19,12,35,47,0.0
1763656247.4708295,915000,3,448.6849365234375,257.80157470703125,22,12,34,82,0.0
1763656247.5026798,945000,1,349.3969421386719,66.31123352050781,17,3,106,42,0.0
1763656247.5026798,945000,2,385.9605712890625,254.59519958496094,19,12,34,46,0.0
1763656247.5026798,945000,3,448.67681884765625,251.4181671142578,22,12,33,79,0.0
1763656247.5393178,980000,1,340.2326965332031,64.48595428466797,17,3,103,39,0.0
1763656247.5393178,980000,2,385.9716796875,252.6767578125,19,12,34,46,0.0
1763656247.5393178,980000,3,448.5871887207031,245.87677001953125,22,12,35,79,0.0
1763656247.5714602,1015000,1,325.5255432128906,62.91093444824219,16,3,102,33,0.0
1763656247.5714602,1015000,2,386.14410400390625,250.7770233154297,19,12,33,46,0.0
1763656247.5714602,1015000,3,448.0572204589844,238.26275634765625,22,11,34,80,0.0
1763656247.6028857,1045000,1,315.1213684082031,62.69976043701172,15,3,106,32,0.0
1763656247.6028857,1045000,2,386.1680603027344,248.67694091796875,19,12,33,47,0.0
1763656247.6028857,1045000,3,447.02508544921875,230.2841339111328,22,11,37,77,0.0
1763656247.6389358,1080000,1,303.5331726074219,62.66666793823242,15,3,106,32,0.0
1763656247.6389358,1080000,2,386.302001953125,246.5014190673828,19,12,34,46,0.0
1763656247.6389358,1080000,3,445.9385070800781,224.05804443359375,22,11,38,77,0.0
1763656247.670377,1115000,1,291.23443603515625,63.540584564208984,14,3,107,34,0.0
1763656247.670377,1115000,2,386.3280944824219,244.03634643554688,19,12,33,45,0.0
1763656247.670377,1115000,3,444.32928466796875,218.18353271484375,22,10,41,75,0.0
1763656247.7023406,1145000,1,281.4913635253906,64.9167709350586,14,3,104,38,0.0
1763656247.7023406,1145000,2,385.9849548339844,241.39698791503906,19,12,34,45,0.0
1763656247.7023406,1145000,3,442.367431640625,211.47503662109375,22,10,43,77,0.0
1763656247.7390106,1180000,1,268.71539306640625,67.21600341796875,13,3,100,41,0.0
1763656247.7390106,1180000,2,385.95062255859375,239.3086395263672,19,11,34,45,0.0
1763656247.7390106,1180000,3,439.96722412109375,204.73348999023438,21,10,46,76,0.0
1763656247.771164,1215000,1,257.9228820800781,70.19276428222656,12,3,102,46,0.0
1763656247.771164,1215000,2,385.55670166015625,236.98782348632812,19,11,35,45,0.0
1763656247.771164,1215000,3,437.177734375,198.67306518554688,21,9,48,75,0.0
1763656247.8029537,1245000,1,247.59585571289062,73.45146942138672,12,3,102,47,0.0
1763656247.8029537,1245000,2,385.455078125,235.142578125,19,11,35,44,0.0
1763656247.8029537,1245000,3,434.32183837890625,192.4054718017578,21,9,50,72,0.0
1763656247.8394911,1280000,1,234.79934692382812,78.1454086303711,11,3,96,51,0.0
1763656247.8394911,1280000,2,384.9190979003906,233.0564422607422,19,11,36,45,0.0
1763656247.8394911,1280000,3,430.7472839355469,185.92074584960938,21,9,51,71,0.0
1763656247.8709526,1315000,1,224.77622985839844,82.82648468017578,11,4,95,56,0.0
1763656247.8709526,1315000,2,384.5783996582031,231.45889282226562,19,11,35,45,0.0
1763656247.8709526,1315000,3,427.18035888671875,180.0576934814453,21,9,54,68,0.0
1763656247.9031386,1345000,1,214.81483459472656,88.15411376953125,10,4,93,62,0.0
1763656247.9031386,1345000,2,384.2065734863281,229.2142791748047,19,11,35,46,0.0
1763656247.9031386,1345000,3,423.2782287597656,174.57681274414062,21,8,56,69,0.0
1763656247.9381113,1380000,1,207.02281188964844,93.0965805053711,10,4,92,66,0.0
1763656247.9381113,1380000,2,383.5826416015625,227.33468627929688,19,11,35,44,0.0
1763656247.9381113,1380000,3,419.5766296386719,169.4223175048828,20,8,57,66,0.0
1763656247.970656,1415000,1,198.14625549316406,99.26947021484375,9,4,93,71,0.0
1763656247.970656,1415000,2,382.8709411621094,225.16453552246094,19,11,36,45,0.0
1763656247.970656,1415000,3,414.5153503417969,163.7079315185547,20,8,60,63,0.0
1763656248.0027668,1445000,1,187.58306884765625,107.8386459350586,9,5,95,80,0.0
1763656248.0027668,1445000,2,381.76287841796875,222.64385986328125,19,11,37,45,0.0
1763656248.0027668,1445000,3,408.2380065917969,157.18356323242188,20,7,62,63,0.0
1763656248.042554,1480000,1,179.64901733398438,115.14652252197266,8,5,94,85,0.0
1763656248.042554,1480000,2,380.94647216796875,220.67417907714844,19,11,37,47,0.0
1763656248.042554,1480000,3,403.07281494140625,152.47789001464844,20,7,63,59,0.0
