unix_time_ms,sim_time_ms,obstacle_id,grid_x,grid_y,neuron_id
1763656257782,0,1,19,4,147
1763656257785,3,2,19,13,435
1763656257787,5,3,22,14,470
1763656257793,11,1,19,3,115
1763656257796,14,2,19,13,435
1763656257798,16,3,22,13,438
1763656257801,19,1,18,3,114
1763656257804,22,2,19,13,435
1763656257808,26,3,22,13,438
1763656257811,29,1,18,3,114
1763656257814,32,2,19,12,403
1763656257817,35,3,22,12,406
1763656257819,37,1,17,3,113
1763656257822,40,2,19,12,403
1763656257825,43,3,22,12,406
1763656257828,46,1,17,3,113
1763656257830,48,2,19,12,403
1763656257833,51,3,22,12,406
1763656257836,53,1,16,3,112
1763656257839,56,2,19,12,403
1763656257841,59,3,22,11,374
1763656257844,62,1,15,3,111
1763656257847,65,2,19,12,403
1763656257849,67,3,22,11,374
1763656257852,70,1,15,3,111
1763656257854,72,2,19,12,403
1763656257857,75,3,22,11,374
1763656257860,78,1,14,3,110
1763656257862,80,2,19,12,403
1763656257865,83,3,22,10,342
1763656257868,86,1,14,3,110
1763656257871,88,2,19,12,403
1763656257873,91,3,22,10,342
1763656257876,94,1,13,3,109
1763656257879,97,2,19,11,371
1763656257882,100,3,21,10,341
1763656257884,102,1,12,3,108
1763656257887,105,2,19,11,371
1763656257889,107,3,21,9,309
1763656257892,110,1,12,3,108
1763656257894,112,2,19,11,371
1763656257897,115,3,21,9,309
1763656257900,117,1,11,3,107
1763656257903,120,2,19,11,371
1763656257905,123,3,21,9,309
1763656257908,126,1,11,4,139
1763656257911,129,2,19,11,371
1763656257913,131,3,21,9,309
1763656257916,134,1,10,4,138
1763656257918,136,2,19,11,371
1763656257921,139,3,21,8,277
1763656257924,142,1,10,4,138
1763656257926,144,2,19,11,371
1763656257929,147,3,20,8,276
1763656257931,149,1,9,4,137
1763656257934,152,2,19,11,371
1763656257937,155,3,20,8,276
1763656257940,157,1,9,5,169
1763656257942,160,2,19,11,371
1763656257945,163,3,20,7,244
1763656257948,166,1,8,5,168
1763656257950,168,2,19,11,371
1763656257953,171,3,20,7,244
1763656257956,174,1,8,6,200
1763656257959,176,2,19,10,339
1763656257961,179,3,19,7,243
1763656257964,182,1,8,6,200
1763656257966,184,2,18,10,338
1763656257969,187,3,19,7,243
1763656257972,190,1,7,7,231
1763656257975,193,2,18,10,338
1763656257978,196,3,19,7,243
1763656257981,198,1,7,7,231
1763656257983,201,2,18,10,338
1763656257986,204,3,19,6,211
1763656257988,206,1,7,8,263
1763656257991,209,2,18,10,338
1763656257994,212,3,18,6,210
1763656257996,214,1,6,8,262
1763656257999,217,2,18,10,338
1763656258003,221,3,18,6,210
1763656258006,223,1,6,9,294
1763656258009,227,2,18,10,338
1763656258012,230,3,18,6,210
1763656258014,232,1,6,9,294
1763656258017,235,2,18,10,338
1763656258020,238,3,17,6,209
1763656258023,240,1,6,10,326
1763656258025,243,2,18,10,338
1763656258028,246,3,17,6,209
1763656258030,248,1,6,11,358
1763656258033,251,2,18,10,338
1763656258036,254,3,17,6,209
1763656258040,258,1,6,11,358
1763656258043,261,2,18,10,338
1763656258046,264,3,16,6,208
1763656258049,267,1,5,12,389
1763656258051,269,2,18,9,306
1763656258054,272,3,16,6,208
1763656258057,275,1,5,12,389
1763656258060,277,2,18,9,306
1763656258062,280,3,15,6,207
1763656258065,283,1,6,13,422
1763656258068,285,2,18,9,306
1763656258071,289,3,15,6,207
1763656258073,291,1,6,14,454
1763656258076,294,2,17,9,305
1763656258079,297,3,15,6,207
1763656258081,299,1,6,14,454
1763656258084,302,2,17,9,305
1763656258088,306,3,14,6,206
1763656258090,308,1,6,15,486
1763656258093,311,2,17,9,305
1763656258095,313,3,14,6,206
1763656258098,316,1,6,13,422
1763656258100,318,2,17,9,305
1763656258103,321,3,14,6,206
1763656258106,324,1,6,13,422
1763656258109,326,2,17,9,305
1763656258111,329,3,13,6,205
1763656258114,332,1,6,13,422
1763656258117,334,2,17,9,305
1763656258119,337,3,13,6,205
1763656258122,340,1,6,13,422
1763656258124,342,2,17,9,305
1763656258127,345,3,13,6,205
1763656258130,348,1,6,13,422
1763656258132,350,2,17,9,305
1763656258135,353,3,12,6,204
1763656258138,356,1,6,13,422
1763656258141,359,2,17,9,305
1763656258143,361,3,12,6,204
1763656258146,364,1,6,13,422
1763656258148,366,2,17,9,305
1763656258151,369,3,12,7,236
1763656258154,372,1,6,13,422
1763656258156,374,2,16,9,304
1763656258159,377,3,11,7,235
1763656258162,379,1,6,13,422
1763656258164,382,2,16,9,304
1763656258167,385,3,11,7,235
1763656258170,387,1,6,13,422
1763656258175,392,2,16,9,304
1763656258177,395,3,11,7,235
1763656258180,398,1,6,13,422
1763656258183,401,2,16,9,304
1763656258186,403,3,11,7,235
1763656258188,406,1,6,13,422
1763656258191,409,2,16,9,304
1763656258193,411,3,10,8,266
1763656258196,414,1,6,13,422
1763656258199,417,2,16,9,304
1763656258202,419,3,10,8,266
1763656258205,423,1,6,13,422
1763656258207,425,2,16,9,304
1763656258211,428,3,10,8,266
1763656258213,431,1,6,13,422
1763656258216,434,2,16,9,304
1763656258218,436,3,10,9,298
1763656258221,439,1,6,13,422
1763656258224,441,2,16,9,304
1763656258226,444,3,10,9,298
1763656258229,447,1,6,13,422
1763656258232,450,2,16,9,304
1763656258234,452,3,10,9,298
1763656258237,455,1,6,13,422
1763656258239,457,2,15,9,303
1763656258242,460,3,9,10,329
1763656258245,463,1,6,13,422
1763656258248,465,2,15,9,303
1763656258250,468,3,9,10,329
1763656258253,471,1,6,13,422
1763656258255,473,2,15,9,303
1763656258258,476,3,9,10,329
1763656258260,478,1,6,13,422
1763656258263,481,2,15,9,303
1763656258266,484,3,9,11,361
1763656258268,486,1,6,13,422
1763656258271,489,2,15,9,303
1763656258276,494,3,9,11,361
1763656258279,497,1,6,13,422
1763656258281,499,2,15,9,303
1763656258284,502,3,9,11,361
1763656258286,504,1,6,13,422
1763656258289,507,2,15,9,303
1763656258291,509,3,9,12,393
1763656258294,512,1,6,13,422
1763656258297,515,2,15,9,303
1763656258300,518,3,9,12,393
1763656258303,521,1,6,13,422
1763656258306,524,2,14,9,302
1763656258309,527,3,9,12,393
1763656258312,530,1,6,13,422
1763656258315,533,2,14,9,302
1763656258318,535,3,9,13,425
1763656258320,538,1,6,13,422
1763656258323,541,2,14,9,302
1763656258326,544,3,9,13,425
1763656258328,546,1,6,13,422
1763656258331,549,2,14,9,302
1763656258334,552,3,9,13,425
1763656258336,554,1,6,13,422
1763656258339,557,2,14,9,302
1763656258342,560,3,9,14,457
1763656258345,563,1,6,13,422
1763656258348,565,2,14,9,302
1763656258350,568,3,9,14,457
1763656258353,571,1,6,13,422
1763656258356,574,2,14,9,302
1763656258359,577,3,9,15,489
1763656258362,579,1,6,13,422
1763656258364,582,2,14,9,302
1763656258367,585,3,10,15,490
1763656258370,587,1,6,13,422
1763656258373,591,2,14,9,302
1763656258376,594,3,10,15,490
1763656258379,597,1,6,13,422
1763656258382,599,2,13,9,301
1763656258384,602,3,10,15,490
1763656258387,605,1,6,13,422
1763656258389,607,2,13,9,301
1763656258392,610,3,10,16,522
1763656258395,613,1,6,13,422
1763656258398,616,2,13,9,301
1763656258400,618,3,10,16,522
1763656258403,620,1,6,13,422
1763656258405,623,2,13,9,301
1763656258408,626,3,11,16,523
1763656258412,630,1,6,13,422
1763656258415,633,2,13,10,333
1763656258418,636,3,11,17,555
1763656258420,638,1,6,13,422
