unix_time,frame_ts_us,id,cx,cy,vx,vy,bx,by,pbx,pby,w,h,processing_time
1763666217.7183814,845000,1,177.91749572753906,164.4191436767578,0.0,0.0,8,8,8,8,41,54,0.0
1763666217.7183814,845000,2,287.01025390625,180.0270233154297,0.0,0.0,14,9,14,9,34,55,0.0
1763666217.7183814,845000,3,523.1080322265625,288.92169189453125,0.0,0.0,26,14,26,14,44,42,0.0
1763666217.7183814,845000,4,195.92689514160156,348.0928039550781,0.0,0.0,9,17,9,17,47,57,0.0
1763666217.7183814,845000,5,230.97329711914062,413.6383361816406,0.0,0.0,11,20,11,20,51,58,0.0
1763666217.7569747,880000,1,176.4503631591797,165.9958953857422,-46.208607,49.661156,8,8,8,8,40,52,0.0
1763666217.7569747,880000,2,285.9080810546875,181.9786376953125,-34.737362,61.509346,14,9,14,9,36,55,0.0
1763666217.7569747,880000,3,520.9876708984375,289.7502136230469,-66.85038,26.121487,26,14,25,14,42,43,0.0
1763666217.7569747,880000,4,193.97723388671875,349.64453125,-61.485676,48.936195,9,17,9,17,49,57,0.0
1763666217.7569747,880000,5,232.6211395263672,411.9987487792969,51.979843,-51.719448,11,20,12,20,51,57,0.0
1763666217.785413,915000,1,174.9569854736328,167.5332794189453,-47.233486,48.625347,8,8,8,8,42,51,0.0
1763666217.785413,915000,2,284.6814880371094,183.9428253173828,-38.795456,62.12456,14,9,13,9,36,55,0.0
1763666217.785413,915000,3,519.1615600585938,290.7427673339844,-57.75738,31.393112,25,14,25,14,41,44,0.0
1763666217.785413,915000,4,192.22817993164062,350.9463806152344,-55.320175,41.17571,9,17,9,17,50,55,0.0
1763666217.785413,915000,5,234.65069580078125,410.4008483886719,64.19208,-50.5394,11,20,12,20,53,57,0.0
1763666217.8167465,945000,1,173.201904296875,169.3990478515625,-54.889114,58.350792,8,8,8,8,40,53,0.0
1763666217.8167465,945000,2,283.6868896484375,185.63258361816406,-31.10547,52.846184,14,9,13,9,36,56,0.0
1763666217.8167465,945000,3,517.1010131835938,291.63360595703125,-64.442375,27.860447,25,14,25,14,39,45,0.0
1763666217.8167465,945000,4,190.30294799804688,352.5518493652344,-60.21048,50.210075,9,17,9,18,49,56,0.0
1763666217.8167465,945000,5,236.56539916992188,409.0614929199219,59.881207,-41.887543,11,20,12,20,55,56,0.0
1763666217.8541758,980000,1,171.75099182128906,171.05059814453125,-39.818157,45.324364,8,8,8,8,40,54,0.0
1763666217.8541758,980000,2,282.97857666015625,187.4669647216797,-19.438606,50.34189,14,9,14,9,37,56,0.0
1763666217.8541758,980000,3,515.7646484375,292.7088317871094,-36.67456,29.50799,25,14,25,14,36,46,0.0
