unix_time_ms,sim_time_ms,robot_id,grid_x,grid_y,neuron_id,event_type
1763662366614,0,4,19,12,403,inject
1763662366624,10,2,10,19,618,inject
1763662366635,20,3,27,9,315,inject
1763662366645,31,1,15,15,495,inject
1763662366655,41,5,25,13,441,inject
1763662366666,51,4,19,12,403,inject
1763662366676,62,2,10,18,586,inject
1763662366686,72,3,27,9,315,inject
1763662366697,82,1,15,15,495,inject
1763662366707,92,5,25,13,441,inject
1763662366717,103,4,19,13,435,inject
1763662366728,113,2,10,18,586,inject
1763662366738,123,3,27,9,315,inject
1763662366748,134,1,15,15,495,inject
1763662366759,144,5,25,13,441,inject
1763662366769,155,4,19,13,435,inject
1763662366779,165,2,10,18,586,inject
1763662366790,175,3,26,9,314,inject
1763662366800,186,1,15,15,495,inject
1763662366810,196,5,25,13,441,inject
1763662366821,206,4,19,13,435,inject
1763662366831,216,2,10,18,586,inject
1763662366841,227,3,26,9,314,inject
1763662366852,237,1,15,16,527,inject
1763662366862,247,5,25,13,441,inject
1763662366872,258,4,19,13,435,inject
1763662366883,268,2,11,18,587,inject
1763662366893,278,3,26,9,314,inject
1763662366903,289,1,15,16,527,inject
1763662366914,299,5,26,13,442,inject
1763662366924,309,4,19,13,435,inject
1763662366934,320,2,11,17,555,inject
1763662366945,330,3,26,9,314,inject
1763662366955,340,1,16,16,528,inject
1763662366965,351,5,26,13,442,inject
1763662366976,361,4,19,13,435,inject
1763662366986,372,2,11,17,555,inject
1763662366996,382,3,26,9,314,inject
1763662367007,392,1,16,16,528,inject
1763662367017,402,5,26,14,474,inject
1763662367027,413,4,19,14,467,inject
1763662367038,423,2,11,17,555,inject
1763662367048,433,3,26,9,314,inject
1763662367058,444,1,16,16,528,inject
1763662367069,454,5,26,14,474,inject
1763662367079,464,4,19,14,467,inject
1763662367089,475,2,11,17,555,inject
1763662367099,485,3,26,9,314,inject
1763662367110,495,1,16,16,528,inject
1763662367120,506,5,26,14,474,inject
1763662367131,516,4,19,14,467,inject
1763662367141,526,2,11,17,555,inject
1763662367151,537,3,26,9,314,inject
1763662367162,547,1,16,16,528,inject
1763662367172,557,5,26,14,474,inject
1763662367183,568,4,19,14,467,inject
1763662367193,579,2,11,16,523,inject
1763662367203,589,3,26,9,314,inject
1763662367214,599,1,16,16,528,inject
1763662367224,610,5,27,14,475,inject
1763662367234,620,4,19,14,467,inject
1763662367245,630,2,11,16,523,inject
1763662367255,641,3,25,9,313,inject
1763662367266,651,1,16,16,528,inject
1763662367276,661,5,27,14,475,inject
1763662367286,672,4,19,14,467,inject
1763662367297,682,2,11,16,523,inject
1763662367307,692,3,25,9,313,inject
1763662367317,703,1,16,16,528,inject
1763662367328,713,5,27,14,475,inject
1763662367338,723,4,19,14,467,inject
1763662367348,734,2,11,16,523,inject
1763662367358,744,3,25,9,313,inject
1763662367369,754,1,17,16,529,inject
1763662367379,764,5,27,14,475,inject
1763662367389,775,4,19,15,499,inject
1763662367400,785,2,11,16,523,inject
1763662367411,796,3,25,9,313,inject
1763662367421,807,1,17,16,529,inject
1763662367432,817,5,27,14,475,inject
1763662367442,828,4,19,15,499,inject
1763662367453,838,2,11,16,523,inject
1763662367463,848,3,25,9,313,inject
1763662367473,859,1,17,16,529,inject
1763662367484,869,5,28,14,476,inject
1763662367494,879,4,19,15,499,inject
1763662367504,890,2,12,15,492,inject
1763662367515,900,3,25,9,313,inject
1763662367525,911,1,17,17,561,inject
1763662367535,921,5,28,14,476,inject
1763662367546,931,4,19,15,499,inject
1763662367556,942,2,12,15,492,inject
1763662367567,952,3,25,9,313,inject
1763662367577,962,1,18,16,530,inject
1763662367587,973,5,28,14,476,inject
1763662367598,983,4,19,15,499,inject
1763662367608,993,2,12,15,492,inject
1763662367618,1004,3,25,9,313,inject
1763662367629,1014,1,18,16,530,inject
1763662367639,1024,5,28,14,476,inject
1763662367649,1035,4,19,15,499,inject
1763662367660,1045,2,12,15,492,inject
1763662367670,1055,3,24,9,312,inject
1763662367680,1066,1,18,16,530,inject
1763662367691,1076,5,28,14,476,inject
1763662367701,1086,4,19,15,499,inject
1763662367711,1097,2,12,15,492,inject
1763662367722,1107,3,24,9,312,inject
1763662367732,1117,1,18,16,530,inject
1763662367742,1128,5,29,14,477,inject
1763662367753,1138,4,19,15,499,inject
1763662367763,1148,2,12,14,460,inject
1763662367773,1159,3,24,9,312,inject
1763662367784,1169,1,18,16,530,inject
1763662367794,1179,5,29,14,477,inject
1763662367804,1190,4,19,15,499,inject
1763662367815,1200,2,12,14,460,inject
1763662367825,1210,3,24,9,312,inject
1763662367835,1221,1,18,16,530,inject
1763662367846,1231,5,29,14,477,inject
1763662367856,1241,4,19,15,499,inject
1763662367866,1252,2,12,14,460,inject
1763662367877,1262,3,24,9,312,inject
1763662367887,1272,1,18,16,530,inject
1763662367897,1283,5,29,14,477,inject
1763662367908,1293,4,19,15,499,inject
1763662367918,1303,2,12,14,460,inject
1763662367928,1314,3,24,9,312,inject
1763662367939,1324,1,18,16,530,inject
1763662367949,1334,5,29,14,477,inject
1763662367959,1345,4,19,15,499,inject
1763662367970,1355,2,13,14,461,inject
1763662367980,1365,3,24,9,312,inject
1763662367990,1376,1,18,17,562,inject
1763662368001,1386,5,29,14,477,inject
1763662368011,1396,4,19,15,499,inject
1763662368021,1407,2,13,14,461,inject
1763662368032,1417,3,24,9,312,inject
1763662368042,1427,1,19,17,563,inject
1763662368052,1438,5,29,14,477,inject
1763662368063,1448,2,13,14,461,inject
1763662368073,1459,3,24,9,312,inject
1763662368084,1469,1,19,17,563,inject
1763662368094,1479,5,28,14,476,inject
1763662368104,1490,2,13,14,461,inject
1763662368115,1500,3,23,9,311,inject
1763662368125,1510,1,19,17,563,inject
1763662368135,1521,5,28,14,476,inject
1763662368146,1531,2,13,14,461,inject
1763662368156,1541,3,23,9,311,inject
1763662368166,1552,1,19,17,563,inject
1763662368177,1562,5,28,14,476,inject
1763662368187,1572,2,13,14,461,inject
1763662368197,1583,3,23,9,311,inject
1763662368208,1593,1,19,17,563,inject
1763662368218,1603,5,28,14,476,inject
1763662368228,1614,2,14,14,462,inject
1763662368239,1624,3,23,9,311,inject
1763662368249,1634,1,19,17,563,inject
1763662368259,1645,5,28,14,476,inject
1763662368270,1655,2,14,14,462,inject
1763662368280,1666,3,23,9,311,inject
1763662368290,1676,1,19,17,563,inject
1763662368301,1686,5,28,14,476,inject
1763662368311,1697,2,14,14,462,inject
1763662368321,1707,3,23,9,311,inject
1763662368332,1717,1,19,17,563,inject
1763662368342,1728,5,27,14,475,inject
1763662368353,1738,2,14,13,430,inject
1763662368363,1748,3,23,9,311,inject
1763662368373,1759,1,19,17,563,inject
1763662368383,1769,5,27,14,475,inject
1763662368394,1779,2,14,13,430,inject
1763662368404,1790,3,23,9,311,inject
1763662368415,1800,1,19,17,563,inject
1763662368425,1811,5,27,14,475,inject
1763662368436,1821,2,15,13,431,inject
