t,robot_id,x,y,gx,gy,t_s
1763663611.0594542,0,149.20821529981274,194.8177430683175,7,9,1763663611.0594542
1763663611.0594542,1,201.96309640747555,46.81515606312976,10,2,1763663611.0594542
1763663611.0594542,2,297.32149309680034,191.9036059387551,14,9,1763663611.0594542
1763663611.0594542,3,582.7820099649105,242.81569777561907,29,12,1763663611.0594542
1763663611.0594542,4,321.9494639734733,392.5900708740289,16,19,1763663611.0594542
1763663611.075885,0,149.299549228675,193.82192274645288,7,9,1763663611.075885
1763663611.075885,1,201.51723667126976,45.92005322231731,10,2,1763663611.075885
1763663611.075885,2,297.51339587804506,192.88501987922595,14,9,1763663611.075885
1763663611.075885,3,581.8820629591968,242.3796984787079,29,12,1763663611.075885
1763663611.075885,4,322.9462696918189,392.5102062393429,16,19,1763663611.075885
1763663611.091837,0,149.4170072692097,192.82884490020223,7,9,1763663611.091837
1763663611.091837,1,201.0996044770571,45.01143704903117,10,2,1763663611.091837
1763663611.091837,2,297.6610566889286,193.87405793963072,14,9,1763663611.091837
1763663611.091837,3,581.0211983882317,241.8708643304265,29,12,1763663611.091837
1763663611.091837,4,323.938143784736,392.3829828774952,16,19,1763663611.091837
1763663611.1084647,0,149.5936205208046,191.84456457460337,7,9,1763663611.1084647
1763663611.1084647,1,200.75039345675737,44.07439293944977,10,2,1763663611.1084647
1763663611.1084647,2,297.9475141821279,194.83215089158787,14,9,1763663611.1084647
1763663611.1084647,3,580.1560127663957,241.36941259818477,29,12,1763663611.1084647
1763663611.1084647,4,324.9313843409135,392.2669087737329,16,19,1763663611.1084647
1763663611.124603,0,149.72106605791183,190.85271900443053,7,9,1763663611.124603
1763663611.124603,1,200.50414977642936,43.10518498967918,10,2,1763663611.124603
1763663611.124603,2,298.2171946025644,195.7951007712977,14,9,1763663611.124603
1763663611.124603,3,579.2851257126298,240.8779293944201,28,12,1763663611.124603
1763663611.124603,4,325.92204596543365,392.1305652894621,16,19,1763663611.124603
1763663611.140979,0,149.750874500367,189.85316337478383,7,9,1763663611.140979
1763663611.140979,1,200.40446929138196,42.11016549193016,10,2,1763663611.140979
1763663611.140979,2,298.48166484042173,196.75949461889715,14,9,1763663611.140979
1763663611.140979,3,578.3985095525414,240.4154234110316,28,12,1763663611.140979
1763663611.140979,4,326.9213234862862,392.09255954886,16,19,1763663611.140979
1763663611.1573117,0,149.6548133147675,188.8577879437925,7,9,1763663611.1573117
1763663611.1573117,1,200.23568725631137,41.12451209207936,10,2,1763663611.1573117
1763663611.1573117,2,298.7796704897135,197.71405872517295,14,9,1763663611.1573117
1763663611.1573117,3,577.5010079011487,239.9744123162196,28,11,1763663611.1573117
1763663611.1573117,4,327.91889885823986,392.0229651721364,16,19,1763663611.1573117
1763663611.1725197,0,149.45543726919323,187.87786488944025,7,9,1763663611.1725197
1763663611.1725197,1,200.16853485746543,40.12676936204859,10,2,1763663611.1725197
1763663611.1725197,2,298.97057388173715,198.69566755506085,14,9,1763663611.1725197
1763663611.1725197,3,576.6283207596513,239.48613252648315,28,11,1763663611.1725197
1763663611.1725197,4,328.91824389754674,392.0591520815474,16,19,1763663611.1725197
1763663611.1890242,0,149.30144536895205,186.8897927793895,7,9,1763663611.1890242
1763663611.1890242,1,200.16357299216,39.12678167217802,10,1,1763663611.1890242
1763663611.1890242,2,299.1238748391707,199.6838471017273,14,9,1763663611.1890242
1763663611.1890242,3,575.7768975077756,238.96165331224725,28,11,1763663611.1890242
1763663611.1890242,4,329.91782400846915,392.0301761976379,16,19,1763663611.1890242
1763663611.2047384,0,149.04845934335626,185.9223228465992,7,9,1763663611.2047384
1763663611.2047384,1,200.16357299216,40.12678167217802,10,2,1763663611.2047384
1763663611.2047384,2,299.3086248857979,200.6666326430695,14,10,1763663611.2047384
1763663611.2047384,3,574.9082595940255,238.46620586317133,28,11,1763663611.2047384
1763663611.2047384,4,330.9178132490466,392.0255373691911,16,19,1763663611.2047384
1763663611.2206583,0,148.9176126030523,184.93092023890048,7,9,1763663611.2206583
1763663611.2206583,1,200.230799100935,41.124519438476845,10,2,1763663611.2206583
1763663611.2206583,2,299.5781884676015,201.62961523655977,14,10,1763663611.2206583
1763663611.2206583,3,574.0489592877262,237.954734472384,28,11,1763663611.2206583
1763663611.2206583,4,331.91405784338923,391.9389538358653,16,19,1763663611.2206583
1763663611.2367218,0,148.73932824724014,183.94694123075416,7,9,1763663611.2367218
1763663611.2367218,1,200.36372516032569,42.11564539552513,10,2,1763663611.2367218
1763663611.2367218,2,299.8298317764653,202.597435284453,14,10,1763663611.2367218
1763663611.2367218,3,573.154112284066,237.50836148928548,28,11,1763663611.2367218
1763663611.2367218,4,332.88755521604344,391.7102556385934,16,19,1763663611.2367218
1763663611.2534544,0,148.61459397916295,182.954751046179,7,9,1763663611.2534544
1763663611.2534544,1,200.5784042066752,43.09233004629961,10,2,1763663611.2534544
1763663611.2534544,2,300.05843260477394,203.57095552630557,15,10,1763663611.2534544
1763663611.2534544,3,572.2804401824752,237.0218462696858,28,11,1763663611.2534544
1763663611.2534544,4,333.87129144262866,391.530636495672,16,19,1763663611.2534544
1763663611.2702122,0,148.44394992066697,181.96941830781088,7,9,1763663611.2702122
1763663611.2702122,1,200.69083925008368,44.0859891231533,10,2,1763663611.2702122
1763663611.2702122,2,300.3443134041138,204.52922071328084,15,10,1763663611.2702122
1763663611.2702122,3,571.4304102342949,236.49511190855443,28,11,1763663611.2702122
1763663611.2702122,4,334.86027720347016,391.3826258039881,16,19,1763663611.2702122
1763663611.285704,0,148.41319710739813,180.9698912874277,7,9,1763663611.285704
1763663611.285704,1,200.8853886398529,45.06688184661516,10,2,1763663611.285704
1763663611.285704,2,300.4986980706415,205.5172315303983,15,10,1763663611.285704
1763663611.285704,3,570.5967240839741,235.942873370635,28,11,1763663611.285704
1763663611.285704,4,335.852868724629,391.26112653599176,16,19,1763663611.285704
1763663611.3017948,0,148.52073979376303,179.9756908194086,7,8,1763663611.3017948
1763663611.3017948,1,201.15439680521283,46.03001974274929,10,2,1763663611.3017948
1763663611.3017948,2,300.6149899469239,206.51044661259888,15,10,1763663611.3017948
1763663611.3017948,3,569.8388079518797,235.2905213669505,28,11,1763663611.3017948
1763663611.3017948,4,336.85265280103687,391.2819063473772,16,19,1763663611.3017948
1763663611.3176043,0,148.7753355716622,179.00864325600963,7,8,1763663611.3176043
1763663611.3176043,1,201.43302178189185,46.99041972315882,10,2,1763663611.3176043
1763663611.3176043,2,300.76122467765,207.49969653224983,15,10,1763663611.3176043
1763663611.3176043,3,569.0434715199718,234.68435310641547,28,11,1763663611.3176043
1763663611.3176043,4,337.84030674231894,391.4385578467955,16,19,1763663611.3176043
1763663611.3343,0,149.0178181075024,178.03848748510865,7,8,1763663611.3343
1763663611.3343,1,201.73716785349237,47.94304513071941,10,2,1763663611.3343
1763663611.3343,2,300.9799134321758,208.4754911974556,15,10,1763663611.3343
1763663611.3343,3,568.308265070132,234.0065098530641,28,11,1763663611.3343
1763663611.3343,4,338.81351870108733,391.66846757540696,16,19,1763663611.3343
1763663611.3502588,0,149.19955773267768,177.05514079718972,7,8,1763663611.3502588
1763663611.3502588,1,201.92882544464948,48.92450698313745,10,2,1763663611.3502588
1763663611.3502588,2,301.2427782949699,209.44032385854672,15,10,1763663611.3502588
1763663611.3502588,3,567.6310663065952,233.2707097207834,28,11,1763663611.3502588
1763663611.3502588,4,339.79584788538085,391.8556289327572,16,19,1763663611.3502588
1763663611.36593,0,149.50369952284458,176.10251402270032,7,8,1763663611.36593
1763663611.36593,1,202.0660137003415,49.91505197580572,10,2,1763663611.36593
1763663611.36593,2,301.58534397698946,210.37981774011408,15,10,1763663611.36593
1763663611.36593,3,567.0156496239322,232.48250777540392,28,11,1763663611.36593
1763663611.36593,4,340.79479486375305,391.90150849684665,17,19,1763663611.36593
1763663611.3822,0,149.79317974689752,175.14533002791026,7,8,1763663611.3822
1763663611.3822,1,202.2872569766477,50.89027062446318,10,2,1763663611.3822
1763663611.3822,2,301.818861658344,211.35217029577217,15,10,1763663611.3822
1763663611.3822,3,566.424678282901,231.67581522301492,28,11,1763663611.3822
1763663611.3822,4,341.7763083952861,392.09290125380863,17,19,1763663611.3822
1763663611.3979754,0,150.14201704349833,174.20814672646907,7,8,1763663611.3979754
1763663611.3979754,1,202.4699141807361,51.87344728498488,10,2,1763663611.3979754
1763663611.3979754,2,302.1670211987309,212.28960559190605,15,10,1763663611.3979754
1763663611.3979754,3,565.8801205584602,230.8370918569687,28,11,1763663611.3979754
1763663611.3979754,4,342.7748300308854,392.1472569640881,17,19,1763663611.3979754
1763663611.4138663,0,150.36416569065875,173.2331339170328,7,8,1763663611.4138663
1763663611.4138663,1,202.5504792560118,52.87019663594822,10,2,1763663611.4138663
1763663611.4138663,2,302.4380382536678,213.25218013755608,15,10,1763663611.4138663
1763663611.4138663,3,565.3665611400749,229.9790378238288,28,11,1763663611.4138663
1763663611.4138663,4,343.7664179827535,392.2766916337482,17,19,1763663611.4138663
1763663611.4296634,0,150.53181648722875,172.2472874734071,7,8,1763663611.4296634
1763663611.4296634,1,202.608191007586,53.868529923848726,10,2,1763663611.4296634
1763663611.4296634,2,302.6919169047957,214.219416215513,15,10,1763663611.4296634
1763663611.4296634,3,564.8224160109742,229.14004671632168,28,11,1763663611.4296634
1763663611.4296634,4,344.760360019887,392.3865971696369,17,19,1763663611.4296634
1763663611.4463198,0,150.63311907123443,171.25243181228146,7,8,1763663611.4463198
1763663611.4463198,1,202.6313866675944,54.86826086833168,10,2,1763663611.4463198
1763663611.4463198,2,302.97523312781783,215.1784427624722,15,10,1763663611.4463198
1763663611.4463198,3,564.3793192356712,228.2435729310295,28,11,1763663611.4463198
1763663611.4463198,4,345.7596119598677,392.4252696462156,17,19,1763663611.4463198
1763663611.462146,0,150.8483179787408,170.2758615740456,7,8,1763663611.462146
1763663611.462146,1,202.5217392612525,55.862231414315055,10,2,1763663611.462146
1763663611.462146,2,303.2116938070764,216.15008382128175,15,10,1763663611.462146
1763663611.462146,3,564.023049966197,227.3091896008976,28,11,1763663611.462146
1763663611.462146,4,346.7454934916951,392.5927139808521,17,19,1763663611.462146
1763663611.4778275,0,151.03552106013498,169.29354034027503,7,8,1763663611.4778275
1763663611.4778275,1,202.40026096800167,56.85482550268596,10,2,1763663611.4778275
